0,1,2,y_true
0.0823336,0.031207938,0.8864584,1
0.0503475,0.051822506,0.89783,1
0.20078476,0.25314647,0.5460688,1
0.076794215,0.06244573,0.8607601,2
0.22175218,0.050673693,0.72757417,1
0.052798785,0.08032158,0.8668796,2
0.051588666,0.042208653,0.90620273,1
0.18691108,0.091138296,0.72195065,1
0.058519166,0.028536912,0.9129439,1
0.080502585,0.040197093,0.87930036,2
0.23377812,0.17263441,0.59358746,0
0.04997404,0.024621844,0.92540413,2
0.071493305,0.027963204,0.90054345,1
0.5409111,0.1531428,0.30594608,1
0.03763101,0.044842392,0.9175266,0
0.26381856,0.15188372,0.5842978,0
0.022381142,0.029809266,0.94780964,2
0.0103335595,0.012909044,0.97675735,2
0.24060047,0.04225583,0.7171437,2
0.12000998,0.05565473,0.8243353,1
0.19875272,0.06934072,0.73190665,2
0.14843631,0.07191238,0.7796513,1
0.059546214,0.021255009,0.91919875,2
0.22526439,0.1610319,0.6137037,1
0.069073714,0.034244232,0.8966821,2
0.23121282,0.12612511,0.642662,1
0.053408593,0.050146133,0.89644533,2
0.43985105,0.072237015,0.48791197,1
0.92288107,0.051285204,0.025833782,1
0.14944002,0.08348954,0.76707053,2
0.23167783,0.065232776,0.7030894,1
0.081795104,0.07322442,0.8449805,1
0.22271445,0.21236588,0.5649197,1
0.27705476,0.12506442,0.59788084,1
0.23309158,0.1559155,0.6109929,1
0.043688886,0.034658004,0.9216531,1
0.16017593,0.041364197,0.7984598,1
0.4974502,0.18360168,0.31894815,2
0.103316866,0.0926485,0.8040346,2
0.0423516,0.024631822,0.93301654,2
0.31908014,0.12244746,0.5584724,0
0.044072382,0.014045412,0.9418823,2
0.6469386,0.052709233,0.30035207,1
0.10431383,0.0802857,0.8154004,1
0.09153755,0.04253341,0.86592907,2
0.14374691,0.096985064,0.7592681,2
0.01996476,0.016350072,0.9636851,2
0.12997285,0.043379206,0.826648,1
0.30088717,0.094606414,0.60450643,0
0.081049204,0.086694464,0.8322563,2
0.11735929,0.0825144,0.8001263,1
0.10506987,0.1001198,0.79481035,1
0.19128403,0.027459448,0.7812565,1
0.041928507,0.052501645,0.90556985,1
0.06236734,0.02311489,0.91451776,1
0.049828738,0.017272428,0.9328989,1
0.05657352,0.031080721,0.91234577,1
0.06905629,0.07770088,0.8532428,2
0.066595614,0.024193693,0.9092107,1
0.049828738,0.017272428,0.9328989,1
