y_pred,y_true
0.0012152125,0
0.0001758443,0
0.99992526,1
0.00016144387,0
0.0004109314,0
0.0011961687,0
0.9999796,1
0.00029231832,0
7.921498e-05,0
0.00025388104,0
0.002121384,0
6.266226e-05,0
0.00090625783,0
0.9999583,1
0.00010342687,0
0.99998975,1
0.0007580518,0
0.00051856734,0
0.9999583,1
2.2254459e-05,0
4.1162202e-05,0
5.0504135e-05,0
0.0008802128,0
0.99998486,1
0.0004946091,0
0.00041787987,0
0.00011384196,0
5.075074e-05,0
0.0005305793,0
0.00046081757,0
0.0001758443,0
0.0025241084,0
0.0008848512,0
0.0016259763,0
0.9999814,1
0.0015908972,0
1.297899e-05,0
0.00029231832,0
0.00018962717,0
0.00024083731,0
0.0005844538,0
4.9716196e-05,0
0.9998925,1
3.6471964e-05,0
0.00010892464,0
5.0504135e-05,0
0.99998975,1
0.0013342053,0
0.99999297,1
0.00076776714,0
0.00022371649,0
0.0004359066,0
0.00022834443,0
0.9999796,1
0.000419957,0
3.3886452e-05,0
0.00015244282,0
5.075074e-05,0
0.999948,1
0.006913692,0
0.0007626613,0
0.00026496366,0
5.0504135e-05,0
0.00022087742,0
0.0001758443,0
0.00021271306,0
0.9999498,1
0.0009486719,0
0.9999796,1
0.00012964295,0
5.35464e-05,0
0.9999528,1
0.00035545777,0
0.00034114587,0
0.9999796,1
0.9999902,1
0.99998546,1
0.00035292763,0
0.9999776,1
0.00015447469,0
0.9999583,1
0.00029231832,0
8.714186e-05,0
0.00076776714,0
0.010840832,0
0.0001239285,0
0.000652094,0
0.000120813,0
0.9999826,1
5.0504135e-05,0
0.9999802,1
0.00029231832,0
7.4531425e-05,0
1.2727301e-05,0
0.99998546,1
0.9999796,1
0.00011108069,0
0.9999796,1
0.9999796,1
5.5541128e-05,0
0.00029231832,0
0.00091571757,0
0.9999796,1
0.00071457226,0
4.6343797e-05,0
0.99992526,1
0.9999583,1
6.0443483e-05,0
1.2727301e-05,0
0.955737,1
0.0005915014,0
0.00052466366,0
0.0018891619,0
5.075074e-05,0
0.9999666,1
7.779629e-05,0
1.2727301e-05,0
0.011012138,0
0.9999528,1
0.0003980074,0
0.00048770278,0
0.0005465069,0
0.00812401,0
0.007371221,0
0.0005700348,0
0.00013453414,0
5.1271287e-05,0
0.9999796,1
0.0016044399,0
5.075074e-05,0
0.99996257,1
0.00018685807,0
0.0006764547,0
0.95186067,0
0.99999225,1
0.0001758443,0
7.764709e-05,0
0.00018995744,0
0.00012964295,0
0.9999528,1
0.01165652,0
0.9999652,1
0.9999466,1
0.0011285837,0
0.00012288943,0
0.999961,1
0.00012964295,0
6.034995e-05,0
0.9999865,1
5.0504135e-05,0
0.00011790537,0
0.00021871827,0
0.00026106284,0
0.00010582016,0
0.9999796,1
0.00083583297,0
5.2670253e-05,0
0.0002806302,0
0.0004694209,0
0.0005895094,0
0.00053792587,0
0.0014398141,0
5.0504135e-05,0
0.00011490849,0
0.00086578337,0
0.00010733748,0
0.9999635,1
3.7098936e-05,0
0.00033943457,0
0.0012089383,0
6.629029e-05,0
0.00031867725,0
0.0015337368,0
3.8927807e-05,0
0.00029054843,0
0.9999635,1
2.2332164e-05,0
5.075074e-05,0
0.00019092819,0
0.9999783,1
0.99490863,1
1.2578929e-05,0
0.00015708388,0
0.9999622,1
5.075074e-05,0
0.9999918,1
4.5568766e-05,0
0.0002640515,0
6.687791e-06,0
0.00017497323,0
0.9999796,1
0.99997795,1
0.9999583,1
0.000106436266,0
0.00035292763,0
9.764089e-05,0
