y_pred,y_true
2.0811529e-05,0
1.1022775e-05,0
0.47273976,1
2.6679876e-05,0
2.0411091e-05,0
9.9836594e-05,0
0.99998665,1
0.00035705263,0
2.9219578e-05,0
0.018619101,0
0.00017789112,0
0.00010021833,0
6.0173705e-05,0
0.9999888,1
0.1316048,0
0.6542636,1
0.0016952979,0
2.1828359e-05,0
0.6542636,1
3.292912e-05,0
3.5167937e-05,0
0.009056796,0
0.038918253,0
0.99998474,1
0.0019649074,0
0.00018186338,0
8.589599e-05,0
0.01437672,0
0.000104522645,0
0.00014789472,0
4.058389e-05,0
0.32330167,0
0.0020001545,0
0.00020229256,0
0.99996996,1
0.0043941885,0
4.3782777e-05,0
5.859818e-06,0
0.036571596,0
0.055655256,0
0.03691234,0
9.769826e-05,0
0.99998736,1
0.0001460474,0
0.00024479628,0
0.0025699108,0
0.9999856,1
1.331436e-05,0
0.9999907,1
0.055556957,0
3.7300044e-05,0
0.11047108,0
3.0690222e-05,0
0.99991596,1
0.0018595974,0
0.011211299,0
0.0020932856,0
0.3443505,0
0.99995756,1
3.151447e-05,0
0.0006130671,0
0.64432025,0
0.007788816,0
4.5654062e-05,0
0.0046183583,0
4.777199e-05,0
0.16511023,1
5.3212265e-05,0
0.15641716,1
1.8947523e-05,0
0.00031030743,0
0.9999516,1
0.004012484,0
3.9570834e-05,0
0.67092276,1
0.99998796,1
0.9998902,1
3.8163693e-05,0
0.99997044,1
0.025493504,0
0.9997745,1
0.00020612686,0
8.2331884e-05,0
0.00010258079,0
0.0085749915,0
0.002487895,0
1.1584518e-05,0
2.2626064e-05,0
0.9999856,1
6.275953e-06,0
0.9999838,1
4.8503673e-05,0
0.05399822,0
0.0033434122,0
0.9999852,1
0.9999826,1
7.8430705e-05,0
0.99995065,1
0.99999046,1
0.00012406365,0
0.00091878686,0
0.0011351256,0
0.99996734,1
3.1239306e-05,0
0.00026405504,0
0.61495817,1
0.9999876,1
0.09396523,0
2.197674e-05,0
0.9870364,1
0.047859296,0
0.009268933,0
1.7317865e-05,0
0.061048735,0
0.9999516,1
0.03691234,0
0.0012384552,0
0.00014216239,0
0.9999914,1
0.0053498438,0
0.0012627058,0
0.016527921,0
4.1540727e-05,0
7.5259406e-05,0
0.0013755627,0
0.03690459,0
0.016417064,0
0.6824746,1
0.00011333581,0
0.6510937,0
0.5899292,1
2.856124e-05,0
6.0216473e-05,0
2.8699478e-05,0
0.3002857,1
0.00017821198,0
0.00019090653,0
8.394677e-06,0
5.5404696e-05,0
0.999949,1
0.0001676649,0
0.99998784,1
0.9963086,1
0.0054416875,0
3.5946043e-05,0
0.99993503,1
4.1570212e-05,0
0.029802153,0
0.9999906,1
1.8137358e-05,0
3.0240744e-05,0
1.4741977e-05,0
